dates,etcs,parks,results,times,year
03.31(금),-,대구,KIA win 7 vs lose 2 삼성,19:00,2017
03.31(금),-,대구,KIA win 7 vs lose 2 삼성,19:00,2017
03.31(금),-,잠실,한화 lose 0 vs win 3 두산,19:00,2017
03.31(금),-,고척,LG win 2 vs lose 1 넥센,19:00,2017
03.31(금),-,고척,LG win 2 vs lose 1 넥센,19:00,2017
03.31(금),-,마산,롯데 lose 5 vs win 6 NC,19:00,2017
03.31(금),-,잠실,한화 lose 0 vs win 3 두산,19:00,2017
03.31(금),-,문학,KT win 3 vs lose 2 SK,19:00,2017
03.31(금),-,문학,KT win 3 vs lose 2 SK,19:00,2017
03.31(금),-,마산,롯데 lose 5 vs win 6 NC,19:00,2017
04.01(토),-,잠실,한화 win 6 vs lose 5 두산,14:00,2017
04.02(일),-,잠실,한화 lose 4 vs win 5 두산,14:00,2017
04.04(화),-,대전,NC lose 0 vs win 6 한화,18:30,2017
04.05(수),우천취소,대전,NCvs 한화,18:30,2017
04.06(목),-,대전,NC win 5 vs lose 2 한화,18:30,2017
04.07(금),-,광주,한화 lose 2 vs win 4 KIA,18:30,2017
04.08(토),-,광주,한화 win 4 vs lose 3 KIA,17:00,2017
04.09(일),-,광주,한화 lose 2 vs win 3 KIA,14:00,2017
04.11(화),-,대구,한화 win 11 vs lose 8 삼성,18:30,2017
04.12(수),-,대구,한화 win 5 vs lose 3 삼성,18:30,2017
04.13(목),-,대구,한화 lose 1 vs win 5 삼성,18:30,2017
04.14(금),-,대전,SK win 6 vs lose 2 한화,18:30,2017
04.01(토),-,마산,롯데 win 3 vs lose 0 NC,17:00,2017
04.02(일),-,마산,롯데 win 12 vs lose 4 NC,14:00,2017
04.04(화),-,사직,넥센 lose 2 vs win 5 롯데,18:30,2017
04.15(토),-,대전,SK win 12 vs lose 4 한화,17:00,2017
04.16(일),-,대전,SK win 10 vs lose 1 한화,14:00,2017
04.18(화),-,대전,LG lose 2 vs win 3 한화,18:30,2017
04.05(수),우천취소,사직,넥센vs 롯데,18:30,2017
04.06(목),-,사직,넥센 lose 3 vs win 12 롯데,18:30,2017
04.07(금),-,사직,LG win 6 vs lose 4 롯데,18:30,2017
04.01(토),-,대구,KIA win 9 vs lose 7 삼성,14:00,2017
04.02(일),-,대구,KIA lose 3 vs win 16 삼성,14:00,2017
04.04(화),-,광주,SK lose 1 vs win 6 KIA,18:30,2017
04.01(토),-,고척,LG win 8 vs lose 3 넥센,14:00,2017
04.02(일),-,고척,LG win 9 vs lose 2 넥센,14:00,2017
04.19(수),-,대전,LG lose 0 vs win 3 한화,18:30,2017
04.20(목),-,대전,LG win 4 vs lose 3 한화,18:30,2017
04.21(금),-,수원,한화 win 7 vs lose 2 KT,18:30,2017
04.08(토),-,사직,LG lose 6 vs win 8 롯데,17:00,2017
04.09(일),-,사직,LG lose 1 vs win 7 롯데,14:00,2017
04.11(화),-,문학,롯데 win 6 vs lose 4 SK,18:30,2017
04.05(수),우천취소,광주,SKvs KIA,18:30,2017
04.06(목),-,광주,SK lose 4 vs win 6 KIA,18:30,2017
04.07(금),-,광주,한화 lose 2 vs win 4 KIA,18:30,2017
04.04(화),-,사직,넥센 lose 2 vs win 5 롯데,18:30,2017
04.05(수),우천취소,사직,넥센vs 롯데,18:30,2017
04.01(토),-,문학,KT win 2 vs lose 0 SK,17:00,2017
04.02(일),-,문학,KT win 8 vs lose 1 SK,14:00,2017
04.04(화),-,광주,SK lose 1 vs win 6 KIA,18:30,2017
04.22(토),-,수원,한화 lose 9 vs win 11 KT,17:00,2017
04.23(일),-,수원,한화 win 14 vs lose 1 KT,14:00,2017
04.25(화),-,사직,한화 lose 2 vs win 4 롯데,18:30,2017
04.12(수),-,문학,롯데 lose 1 vs win 2 SK,18:30,2017
04.13(목),-,문학,롯데 lose 10 vs win 11 SK,18:30,2017
04.01(토),-,잠실,한화 win 6 vs lose 5 두산,14:00,2017
04.02(일),-,잠실,한화 lose 4 vs win 5 두산,14:00,2017
04.04(화),-,수원,두산 win 2 vs lose 0 KT,19:00,2017
04.08(토),-,광주,한화 win 4 vs lose 3 KIA,17:00,2017
04.09(일),-,광주,한화 lose 2 vs win 3 KIA,14:00,2017
04.11(화),-,잠실,KIA lose 4 vs win 16 두산,18:30,2017
04.01(토),-,고척,LG win 8 vs lose 3 넥센,14:00,2017
04.02(일),-,고척,LG win 9 vs lose 2 넥센,14:00,2017
04.04(화),-,잠실,삼성 lose 0 vs win 11 LG,18:30,2017
04.06(목),-,사직,넥센 lose 3 vs win 12 롯데,18:30,2017
04.07(금),-,잠실,넥센 win 7 vs lose 3 두산,18:30,2017
04.08(토),-,잠실,넥센 win 13 vs lose 10 두산,17:00,2017
04.01(토),-,대구,KIA win 9 vs lose 7 삼성,14:00,2017
04.02(일),-,대구,KIA lose 3 vs win 16 삼성,14:00,2017
04.05(수),우천취소,광주,SKvs KIA,18:30,2017
04.06(목),-,광주,SK lose 4 vs win 6 KIA,18:30,2017
04.07(금),-,문학,NC win 5 vs lose 3 SK,18:30,2017
04.26(수),-,사직,한화 lose 2 vs win 8 롯데,18:30,2017
04.27(목),-,사직,한화 win 6 vs lose 1 롯데,18:30,2017
04.01(토),-,문학,KT win 2 vs lose 0 SK,17:00,2017
04.02(일),-,문학,KT win 8 vs lose 1 SK,14:00,2017
04.04(화),-,수원,두산 win 2 vs lose 0 KT,19:00,2017
04.14(금),-,사직,삼성 lose 6 vs win 9 롯데,18:30,2017
04.15(토),-,사직,삼성 lose 4 vs win 6 롯데,17:00,2017
04.16(일),-,사직,삼성 win 3 vs lose 0 롯데,14:00,2017
04.05(수),우천취소,수원,두산vs KT,18:30,2017
04.06(목),-,수원,두산 lose 1 vs win 5 KT,18:30,2017
04.07(금),-,잠실,넥센 win 7 vs lose 3 두산,18:30,2017
04.12(수),-,잠실,KIA win 8 vs lose 4 두산,18:30,2017
04.13(목),-,잠실,KIA win 4 vs lose 3 두산,18:30,2017
04.14(금),-,광주,넥센 lose 2 vs win 3 KIA,18:30,2017
04.05(수),우천취소,잠실,삼성vs LG,18:30,2017
04.06(목),-,잠실,삼성 lose 0 vs win 4 LG,18:30,2017
04.09(일),-,잠실,넥센 win 13 vs lose 2 두산,14:00,2017
04.11(화),-,고척,KT lose 2 vs win 12 넥센,18:30,2017
04.12(수),-,고척,KT lose 3 vs win 5 넥센,18:30,2017
04.04(화),-,잠실,삼성 lose 0 vs win 11 LG,18:30,2017
04.05(수),우천취소,잠실,삼성vs LG,18:30,2017
04.06(목),-,잠실,삼성 lose 0 vs win 4 LG,18:30,2017
04.01(토),-,마산,롯데 win 3 vs lose 0 NC,17:00,2017
04.02(일),-,마산,롯데 win 12 vs lose 4 NC,14:00,2017
04.04(화),-,대전,NC lose 0 vs win 6 한화,18:30,2017
04.08(토),-,문학,NC lose 2 vs win 9 SK,17:00,2017
04.09(일),-,문학,NC lose 5 vs win 8 SK,14:00,2017
04.28(금),-,대전,넥센 win 13 vs lose 2 한화,18:30,2017
04.29(토),-,대전,넥센 win 7 vs lose 3 한화,17:00,2017
04.05(수),우천취소,수원,두산vs KT,18:30,2017
04.06(목),-,수원,두산 lose 1 vs win 5 KT,18:30,2017
04.07(금),-,수원,삼성 lose 2 vs win 3 KT,18:30,2017
04.18(화),-,사직,NC win 8 vs lose 3 롯데,18:30,2017
04.19(수),-,사직,NC win 8 vs lose 2 롯데,18:30,2017
04.20(목),-,사직,NC win 5 vs lose 4 롯데,18:30,2017
04.08(토),-,잠실,넥센 win 13 vs lose 10 두산,17:00,2017
04.09(일),-,잠실,넥센 win 13 vs lose 2 두산,14:00,2017
04.11(화),-,잠실,KIA lose 4 vs win 16 두산,18:30,2017
04.15(토),-,광주,넥센 lose 2 vs win 5 KIA,17:00,2017
04.16(일),-,광주,넥센 lose 6 vs win 7 KIA,14:00,2017
04.07(금),-,사직,LG win 6 vs lose 4 롯데,18:30,2017
04.08(토),-,사직,LG lose 6 vs win 8 롯데,17:00,2017
04.09(일),-,사직,LG lose 1 vs win 7 롯데,14:00,2017
04.13(목),-,고척,KT win 7 vs lose 6 넥센,18:30,2017
04.14(금),-,광주,넥센 lose 2 vs win 3 KIA,18:30,2017
04.15(토),-,광주,넥센 lose 2 vs win 5 KIA,17:00,2017
04.07(금),-,수원,삼성 lose 2 vs win 3 KT,18:30,2017
04.08(토),-,수원,삼성 lose 0 vs win 1 KT,17:00,2017
04.09(일),-,수원,삼성 lose 0 vs win 3 KT,14:00,2017
04.05(수),우천취소,대전,NCvs 한화,18:30,2017
04.06(목),-,대전,NC win 5 vs lose 2 한화,18:30,2017
04.11(화),-,문학,롯데 win 6 vs lose 4 SK,18:30,2017
04.12(수),-,문학,롯데 lose 1 vs win 2 SK,18:30,2017
04.13(목),-,문학,롯데 lose 10 vs win 11 SK,18:30,2017
05.02(화),-,고척,KIA win 9 vs lose 3 넥센,18:30,2017
05.03(수),-,고척,KIA win 2 vs lose 1 넥센,14:00,2017
05.04(목),-,고척,KIA lose 1 vs win 9 넥센,18:30,2017
04.30(일),-,대전,넥센 win 5 vs lose 4 한화,14:00,2017
04.08(토),-,수원,삼성 lose 0 vs win 1 KT,17:00,2017
04.09(일),-,수원,삼성 lose 0 vs win 3 KT,14:00,2017
04.21(금),-,고척,롯데 lose 1 vs win 4 넥센,18:30,2017
04.22(토),-,고척,롯데 win 3 vs lose 2 넥센,17:00,2017
04.23(일),-,고척,롯데 lose 5 vs win 6 넥센,14:00,2017
04.12(수),-,잠실,KIA win 8 vs lose 4 두산,18:30,2017
04.13(목),-,잠실,KIA win 4 vs lose 3 두산,18:30,2017
04.14(금),-,마산,두산 win 10 vs lose 6 NC,18:30,2017
04.18(화),-,수원,KIA win 5 vs lose 0 KT,18:30,2017
04.19(수),-,수원,KIA lose 1 vs win 3 KT,18:30,2017
04.20(목),-,수원,KIA win 9 vs lose 2 KT,18:30,2017
04.11(화),-,마산,LG lose 3 vs win 4 NC,18:30,2017
04.12(수),-,마산,LG lose 0 vs win 5 NC,18:30,2017
04.13(목),-,마산,LG lose 1 vs win 3 NC,18:30,2017
04.16(일),-,광주,넥센 lose 6 vs win 7 KIA,14:00,2017
04.18(화),-,문학,넥센 lose 4 vs win 7 SK,18:30,2017
04.19(수),-,문학,넥센 lose 3 vs win 5 SK,18:30,2017
04.11(화),-,대구,한화 win 11 vs lose 8 삼성,18:30,2017
04.12(수),-,대구,한화 win 5 vs lose 3 삼성,18:30,2017
04.13(목),-,대구,한화 lose 1 vs win 5 삼성,18:30,2017
05.02(화),-,대구,두산 lose 5 vs win 6 삼성,18:30,2017
05.03(수),-,대구,두산 win 10 vs lose 4 삼성,14:00,2017
05.04(목),-,대구,두산 win 17 vs lose 2 삼성,18:30,2017
04.07(금),-,문학,NC win 5 vs lose 3 SK,18:30,2017
04.08(토),-,문학,NC lose 2 vs win 9 SK,17:00,2017
04.09(일),-,문학,NC lose 5 vs win 8 SK,14:00,2017
05.02(화),-,잠실,NC win 2 vs lose 1 LG,18:30,2017
05.03(수),-,잠실,NC lose 0 vs win 13 LG,14:00,2017
04.14(금),-,대전,SK win 6 vs lose 2 한화,18:30,2017
04.15(토),-,대전,SK win 12 vs lose 4 한화,17:00,2017
04.16(일),-,대전,SK win 10 vs lose 1 한화,14:00,2017
05.05(금),-,고척,SK lose 3 vs win 5 넥센,14:00,2017
05.06(토),-,고척,SK win 13 vs lose 5 넥센,17:00,2017
05.07(일),-,고척,SK same 6 vs same 6 넥센,14:00,2017
04.11(화),-,고척,KT lose 2 vs win 12 넥센,18:30,2017
04.12(수),-,고척,KT lose 3 vs win 5 넥센,18:30,2017
04.13(목),-,고척,KT win 7 vs lose 6 넥센,18:30,2017
04.25(화),-,사직,한화 lose 2 vs win 4 롯데,18:30,2017
04.26(수),-,사직,한화 lose 2 vs win 8 롯데,18:30,2017
04.27(목),-,사직,한화 win 6 vs lose 1 롯데,18:30,2017
04.15(토),-,마산,두산 win 11 vs lose 2 NC,17:00,2017
04.16(일),-,마산,두산 lose 0 vs win 4 NC,14:00,2017
04.18(화),-,잠실,삼성 same 3 vs same 3 두산,18:30,2017
04.21(금),-,잠실,KIA lose 2 vs win 6 LG,18:30,2017
04.22(토),-,잠실,KIA win 5 vs lose 4 LG,17:00,2017
04.23(일),-,잠실,KIA lose 1 vs win 7 LG,14:00,2017
04.14(금),-,잠실,KT lose 2 vs win 5 LG,18:30,2017
04.15(토),-,잠실,KT win 1 vs lose 0 LG,17:00,2017
04.16(일),-,잠실,KT lose 5 vs win 12 LG,14:00,2017
04.20(목),-,문학,넥센 win 5 vs lose 3 SK,18:30,2017
04.21(금),-,고척,롯데 lose 1 vs win 4 넥센,18:30,2017
04.22(토),-,고척,롯데 win 3 vs lose 2 넥센,17:00,2017
04.14(금),-,사직,삼성 lose 6 vs win 9 롯데,18:30,2017
04.15(토),-,사직,삼성 lose 4 vs win 6 롯데,17:00,2017
04.16(일),-,사직,삼성 win 3 vs lose 0 롯데,14:00,2017
05.05(금),-,잠실,LG win 3 vs lose 1 두산,14:00,2017
05.06(토),-,잠실,LG win 7 vs lose 5 두산,17:00,2017
05.07(일),-,잠실,LG win 10 vs lose 4 두산,14:00,2017
05.02(화),-,수원,롯데 win 9 vs lose 0 KT,18:30,2017
05.03(수),-,수원,롯데 lose 2 vs win 8 KT,14:00,2017
05.04(목),-,수원,롯데 win 3 vs lose 2 KT,18:30,2017
04.11(화),-,마산,LG lose 3 vs win 4 NC,18:30,2017
04.12(수),-,마산,LG lose 0 vs win 5 NC,18:30,2017
04.13(목),-,마산,LG lose 1 vs win 3 NC,18:30,2017
05.04(목),-,잠실,NC lose 3 vs win 4 LG,18:30,2017
05.05(금),-,잠실,LG win 3 vs lose 1 두산,14:00,2017
05.06(토),-,잠실,LG win 7 vs lose 5 두산,17:00,2017
04.18(화),-,문학,넥센 lose 4 vs win 7 SK,18:30,2017
04.19(수),-,문학,넥센 lose 3 vs win 5 SK,18:30,2017
04.20(목),-,문학,넥센 win 5 vs lose 3 SK,18:30,2017
05.09(화),우천취소,마산,넥센vs NC,14:00,2017
05.10(수),-,마산,넥센 lose 0 vs win 3 NC,18:30,2017
05.11(목),-,마산,넥센 win 2 vs lose 1 NC,18:30,2017
04.14(금),-,잠실,KT lose 2 vs win 5 LG,18:30,2017
04.15(토),-,잠실,KT win 1 vs lose 0 LG,17:00,2017
04.16(일),-,잠실,KT lose 5 vs win 12 LG,14:00,2017
04.28(금),-,잠실,롯데 lose 0 vs win 2 두산,18:30,2017
04.29(토),-,잠실,롯데 lose 3 vs win 5 두산,17:00,2017
04.30(일),-,잠실,롯데 win 6 vs lose 0 두산,14:00,2017
04.19(수),-,잠실,삼성 lose 1 vs win 2 두산,18:30,2017
04.20(목),-,잠실,삼성 lose 2 vs win 4 두산,18:30,2017
04.21(금),-,문학,두산 lose 4 vs win 9 SK,18:30,2017
04.25(화),-,광주,삼성 lose 3 vs win 11 KIA,18:30,2017
04.26(수),-,광주,삼성 lose 0 vs win 7 KIA,18:30,2017
04.27(목),-,광주,삼성 lose 9 vs win 16 KIA,18:30,2017
04.18(화),-,대전,LG lose 2 vs win 3 한화,18:30,2017
04.19(수),-,대전,LG lose 0 vs win 3 한화,18:30,2017
04.20(목),-,대전,LG win 4 vs lose 3 한화,18:30,2017
04.23(일),-,고척,롯데 lose 5 vs win 6 넥센,14:00,2017
04.25(화),-,고척,두산 lose 9 vs win 13 넥센,18:30,2017
04.26(수),-,고척,두산 win 4 vs lose 3 넥센,18:30,2017
04.18(화),-,잠실,삼성 same 3 vs same 3 두산,18:30,2017
04.19(수),-,잠실,삼성 lose 1 vs win 2 두산,18:30,2017
05.09(화),우천취소,잠실,SKvs 두산,18:30,2017
05.10(수),-,잠실,SK lose 0 vs win 6 두산,18:30,2017
05.11(목),-,잠실,SK lose 0 vs win 7 두산,18:30,2017
05.02(화),-,문학,한화 win 6 vs lose 5 SK,18:30,2017
05.03(수),-,문학,한화 win 9 vs lose 8 SK,14:00,2017
05.04(목),-,문학,한화 lose 2 vs win 6 SK,18:30,2017
05.05(금),-,대전,KT lose 1 vs win 13 한화,14:00,2017
05.06(토),-,대전,KT lose 3 vs win 5 한화,17:00,2017
05.07(일),-,대전,KT win 10 vs lose 0 한화,14:00,2017
04.14(금),-,마산,두산 win 10 vs lose 6 NC,18:30,2017
04.15(토),-,마산,두산 win 11 vs lose 2 NC,17:00,2017
05.07(일),-,잠실,LG win 10 vs lose 4 두산,14:00,2017
05.09(화),우천취소,대구,LGvs 삼성,18:30,2017
05.10(수),-,대구,LG win 6 vs lose 1 삼성,18:30,2017
04.21(금),-,문학,두산 lose 4 vs win 9 SK,18:30,2017
04.22(토),-,문학,두산 lose 4 vs win 8 SK,17:00,2017
04.23(일),-,문학,두산 win 8 vs lose 4 SK,14:00,2017
05.12(금),-,대구,넥센 lose 1 vs win 4 삼성,18:30,2017
05.13(토),-,대구,넥센 win 5 vs lose 4 삼성,17:00,2017
05.14(일),-,대구,넥센 win 5 vs lose 4 삼성,14:00,2017
04.18(화),-,수원,KIA win 5 vs lose 0 KT,18:30,2017
04.19(수),-,수원,KIA lose 1 vs win 3 KT,18:30,2017
04.20(목),-,수원,KIA win 9 vs lose 2 KT,18:30,2017
04.22(토),-,문학,두산 lose 4 vs win 8 SK,17:00,2017
04.23(일),-,문학,두산 win 8 vs lose 4 SK,14:00,2017
04.25(화),-,고척,두산 lose 9 vs win 13 넥센,18:30,2017
04.28(금),-,광주,NC lose 3 vs win 9 KIA,18:30,2017
04.29(토),-,광주,NC win 8 vs lose 6 KIA,17:00,2017
04.30(일),-,광주,NC win 12 vs lose 1 KIA,14:00,2017
04.21(금),-,잠실,KIA lose 2 vs win 6 LG,18:30,2017
04.22(토),-,잠실,KIA win 5 vs lose 4 LG,17:00,2017
04.23(일),-,잠실,KIA lose 1 vs win 7 LG,14:00,2017
04.27(목),-,고척,두산 lose 3 vs win 7 넥센,18:30,2017
04.28(금),-,대전,넥센 win 13 vs lose 2 한화,18:30,2017
04.29(토),-,대전,넥센 win 7 vs lose 3 한화,17:00,2017
04.20(목),-,잠실,삼성 lose 2 vs win 4 두산,18:30,2017
04.21(금),-,대구,NC same 4 vs same 4 삼성,18:30,2017
04.22(토),-,대구,NC win 14 vs lose 6 삼성,17:00,2017
05.02(화),-,잠실,NC win 2 vs lose 1 LG,18:30,2017
05.03(수),-,잠실,NC lose 0 vs win 13 LG,14:00,2017
05.04(목),-,잠실,NC lose 3 vs win 4 LG,18:30,2017
05.12(금),우천취소,사직,두산vs 롯데,18:30,2017
05.13(토),-,사직,두산 win 9 vs lose 4 롯데,17:00,2017
06.01(목),-,수원,SK win 10 vs lose 4 KT,18:30,2017
06.02(금),-,대전,SK lose 4 vs win 5 한화,18:30,2017
06.03(토),-,대전,SK win 5 vs lose 2 한화,17:00,2017
05.05(금),-,대전,KT lose 1 vs win 13 한화,14:00,2017
05.06(토),-,대전,KT lose 3 vs win 5 한화,17:00,2017
05.07(일),-,대전,KT win 10 vs lose 0 한화,14:00,2017
05.09(화),-,광주,KT lose 4 vs win 9 KIA,18:30,2017
05.10(수),-,광주,KT win 3 vs lose 0 KIA,18:30,2017
05.11(목),-,광주,KT win 4 vs lose 2 KIA,18:30,2017
04.16(일),-,마산,두산 lose 0 vs win 4 NC,14:00,2017
04.18(화),-,사직,NC win 8 vs lose 3 롯데,18:30,2017
05.11(목),-,대구,LG win 8 vs lose 5 삼성,18:30,2017
05.12(금),-,잠실,한화 win 5 vs lose 3 LG,18:30,2017
05.13(토),-,잠실,한화 win 10 vs lose 0 LG,17:00,2017
04.25(화),-,잠실,SK win 8 vs lose 3 LG,18:30,2017
04.26(수),-,잠실,SK lose 0 vs win 9 LG,18:30,2017
04.27(목),-,잠실,SK lose 2 vs win 4 LG,18:30,2017
05.16(화),-,고척,한화 lose 1 vs win 2 넥센,18:30,2017
05.17(수),-,고척,한화 win 8 vs lose 4 넥센,18:30,2017
05.18(목),-,고척,한화 lose 6 vs win 8 넥센,18:30,2017
04.21(금),-,수원,한화 win 7 vs lose 2 KT,18:30,2017
04.22(토),-,수원,한화 lose 9 vs win 11 KT,17:00,2017
04.23(일),-,수원,한화 win 14 vs lose 1 KT,14:00,2017
04.26(수),-,고척,두산 win 4 vs lose 3 넥센,18:30,2017
04.27(목),-,고척,두산 lose 3 vs win 7 넥센,18:30,2017
04.28(금),-,잠실,롯데 lose 0 vs win 2 두산,18:30,2017
04.25(화),-,잠실,SK win 8 vs lose 3 LG,18:30,2017
04.26(수),-,잠실,SK lose 0 vs win 9 LG,18:30,2017
04.27(목),-,잠실,SK lose 2 vs win 4 LG,18:30,2017
04.30(일),-,대전,넥센 win 5 vs lose 4 한화,14:00,2017
04.23(일),-,대구,NC win 6 vs lose 3 삼성,14:00,2017
04.25(화),-,광주,삼성 lose 3 vs win 11 KIA,18:30,2017
05.05(금),-,마산,삼성 lose 2 vs win 7 NC,14:00,2017
05.06(토),-,마산,삼성 win 12 vs lose 1 NC,17:00,2017
05.07(일),-,마산,삼성 lose 3 vs win 13 NC,14:00,2017
05.14(일),-,사직,두산 win 15 vs lose 1 롯데,14:00,2017
05.16(화),-,잠실,NC win 2 vs lose 1 두산,18:30,2017
05.17(수),-,잠실,NC win 2 vs lose 1 두산,18:30,2017
06.01(목),-,잠실,넥센 lose 1 vs win 6 LG,18:30,2017
06.02(금),-,고척,두산 win 15 vs lose 4 넥센,18:30,2017
06.03(토),-,고척,두산 lose 5 vs win 8 넥센,17:00,2017
06.04(일),-,대전,SK win 7 vs lose 4 한화,17:00,2017
06.06(화),-,문학,넥센 lose 5 vs win 6 SK,14:00,2017
05.09(화),우천취소,대전,롯데vs 한화,18:30,2017
05.10(수),-,대전,롯데 win 8 vs lose 1 한화,18:30,2017
05.11(목),-,대전,롯데 lose 1 vs win 2 한화,18:30,2017
05.12(금),-,수원,NC win 8 vs lose 5 KT,18:30,2017
05.13(토),-,수원,NC lose 2 vs win 5 KT,17:00,2017
05.14(일),-,수원,NC lose 5 vs win 10 KT,14:00,2017
04.19(수),-,사직,NC win 8 vs lose 2 롯데,18:30,2017
04.20(목),-,사직,NC win 5 vs lose 4 롯데,18:30,2017
04.21(금),-,대구,NC same 4 vs same 4 삼성,18:30,2017
05.14(일),-,잠실,한화 lose 1 vs win 4 LG,14:00,2017
05.16(화),-,광주,LG lose 2 vs win 3 KIA,18:30,2017
04.28(금),-,대구,SK win 7 vs lose 5 삼성,18:30,2017
04.29(토),-,대구,SK lose 5 vs win 12 삼성,17:00,2017
04.30(일),-,대구,SK win 13 vs lose 2 삼성,14:00,2017
05.19(금),-,수원,넥센 win 4 vs lose 3 KT,18:30,2017
05.20(토),-,수원,넥센 win 11 vs lose 3 KT,17:00,2017
05.21(일),-,수원,넥센 lose 4 vs win 13 KT,14:00,2017
04.25(화),-,마산,KT lose 1 vs win 2 NC,18:30,2017
04.26(수),-,마산,KT lose 4 vs win 11 NC,18:30,2017
04.27(목),-,마산,KT lose 0 vs win 3 NC,18:30,2017
04.29(토),-,잠실,롯데 lose 3 vs win 5 두산,17:00,2017
04.30(일),-,잠실,롯데 win 6 vs lose 0 두산,14:00,2017
04.28(금),-,수원,LG win 2 vs lose 1 KT,18:30,2017
04.29(토),-,수원,LG lose 0 vs win 6 KT,17:00,2017
04.30(일),-,수원,LG win 7 vs lose 5 KT,14:00,2017
04.26(수),-,광주,삼성 lose 0 vs win 7 KIA,18:30,2017
04.27(목),-,광주,삼성 lose 9 vs win 16 KIA,18:30,2017
04.28(금),-,대구,SK win 7 vs lose 5 삼성,18:30,2017
05.09(화),우천취소,마산,넥센vs NC,14:00,2017
05.10(수),-,마산,넥센 lose 0 vs win 3 NC,18:30,2017
05.11(목),-,마산,넥센 win 2 vs lose 1 NC,18:30,2017
06.01(목),-,대구,롯데 lose 2 vs win 13 삼성,18:30,2017
06.02(금),-,대구,KIA lose 1 vs win 5 삼성,18:30,2017
05.18(목),-,잠실,NC lose 4 vs win 7 두산,18:30,2017
05.19(금),-,광주,두산 win 7 vs lose 6 KIA,18:30,2017
05.20(토),-,광주,두산 win 6 vs lose 0 KIA,17:00,2017
05.02(화),-,문학,한화 win 6 vs lose 5 SK,18:30,2017
05.03(수),-,문학,한화 win 9 vs lose 8 SK,14:00,2017
05.04(목),-,문학,한화 lose 2 vs win 6 SK,18:30,2017
06.04(일),-,고척,두산 win 6 vs lose 1 넥센,17:00,2017
06.06(화),-,문학,넥센 lose 5 vs win 6 SK,14:00,2017
06.07(수),-,문학,넥센 win 6 vs lose 2 SK,18:30,2017
06.07(수),-,문학,넥센 win 6 vs lose 2 SK,18:30,2017
06.08(목),-,문학,넥센 win 6 vs lose 2 SK,18:30,2017
06.09(금),-,잠실,SK lose 1 vs win 3 LG,18:30,2017
05.12(금),-,잠실,한화 win 5 vs lose 3 LG,18:30,2017
05.13(토),-,잠실,한화 win 10 vs lose 0 LG,17:00,2017
05.14(일),-,잠실,한화 lose 1 vs win 4 LG,14:00,2017
05.16(화),-,사직,KT lose 0 vs win 6 롯데,18:30,2017
05.17(수),-,사직,KT lose 4 vs win 9 롯데,18:30,2017
05.18(목),-,사직,KT lose 4 vs win 11 롯데,18:30,2017
04.22(토),-,대구,NC win 14 vs lose 6 삼성,17:00,2017
04.23(일),-,대구,NC win 6 vs lose 3 삼성,14:00,2017
04.25(화),-,마산,KT lose 1 vs win 2 NC,18:30,2017
05.17(수),-,광주,LG lose 3 vs win 8 KIA,18:30,2017
05.18(목),-,광주,LG lose 4 vs win 9 KIA,18:30,2017
05.19(금),-,잠실,롯데 win 9 vs lose 4 LG,18:30,2017
05.23(화),-,고척,NC win 15 vs lose 4 넥센,18:30,2017
05.24(수),-,고척,NC win 5 vs lose 4 넥센,18:30,2017
05.25(목),-,고척,NC win 13 vs lose 3 넥센,18:30,2017
04.28(금),-,수원,LG win 2 vs lose 1 KT,18:30,2017
04.29(토),-,수원,LG lose 0 vs win 6 KT,17:00,2017
04.30(일),-,수원,LG win 7 vs lose 5 KT,14:00,2017
04.29(토),-,대구,SK lose 5 vs win 12 삼성,17:00,2017
04.30(일),-,대구,SK win 13 vs lose 2 삼성,14:00,2017
05.12(금),-,수원,NC win 8 vs lose 5 KT,18:30,2017
05.13(토),-,수원,NC lose 2 vs win 5 KT,17:00,2017
05.14(일),-,수원,NC lose 5 vs win 10 KT,14:00,2017
06.03(토),-,대구,KIA lose 5 vs win 6 삼성,17:00,2017
06.04(일),-,대구,KIA win 13 vs lose 3 삼성,17:00,2017
06.06(화),-,잠실,삼성 win 12 vs lose 10 두산,14:00,2017
05.21(일),-,광주,두산 win 7 vs lose 3 KIA,14:00,2017
05.23(화),우천취소,잠실,두산vs LG,18:30,2017
05.24(수),-,잠실,두산 win 2 vs lose 1 LG,18:30,2017
05.05(금),-,고척,SK lose 3 vs win 5 넥센,14:00,2017
05.06(토),-,고척,SK win 13 vs lose 5 넥센,17:00,2017
06.08(목),-,문학,넥센 win 6 vs lose 2 SK,18:30,2017
06.09(금),-,광주,넥센 win 7 vs lose 5 KIA,18:30,2017
06.10(토),-,광주,넥센 win 8 vs lose 4 KIA,17:00,2017
06.01(목),-,대구,롯데 lose 2 vs win 13 삼성,18:30,2017
06.02(금),-,사직,KT win 11 vs lose 8 롯데,18:30,2017
06.03(토),-,사직,KT win 10 vs lose 1 롯데,17:00,2017
06.10(토),-,잠실,SK win 4 vs lose 3 LG,17:00,2017
06.11(일),-,잠실,SK lose 1 vs win 19 LG,17:00,2017
06.13(화),-,문학,한화 win 11 vs lose 8 SK,18:30,2017
05.16(화),-,고척,한화 lose 1 vs win 2 넥센,18:30,2017
05.17(수),-,고척,한화 win 8 vs lose 4 넥센,18:30,2017
